13,566,73,558,76,582,16,590,0.83191496
78,555,123,555,123,584,78,584,0.9007795
51,535,160,533,160,556,51,558,0.7990761
144,512,210,508,211,521,145,524,0.7335979
261,279,293,296,286,310,254,294,0.8051334
265,259,297,273,292,287,259,273,0.7921566
84,176,133,180,132,195,83,192,0.8004836
87,155,136,159,135,175,85,171,0.7974771
89,134,138,138,137,154,88,150,0.7858012
13,124,75,86,86,107,24,144,0.71689385
2,109,72,61,84,80,14,128,0.8141852
71,89,160,25,176,49,87,113,0.76975137
71,65,128,17,144,38,87,86,0.79798466
